,Actual,Predicted,Difference
0,[[ 4.55000019]],[[ 3.70203376]],[[ 0.84796643]]
1,[[ 1.16999996]],[[ 1.50655127]],[[-0.33655131]]
2,[[ 6.23999977]],[[ 5.90726709]],[[ 0.33273268]]
3,[[ 0.]],[[ 0.]],[[ 0.]]
4,[[ 4.80999994]],[[ 4.98038054]],[[-0.17038059]]
5,[[ 7.25]],[[ 6.99902439]],[[ 0.25097561]]
6,[[ 4.55000019]],[[ 3.52053833]],[[ 1.02946186]]
7,[[ 7.75]],[[ 7.50191069]],[[ 0.24808931]]
8,[[ 4.55000019]],[[ 3.81284285]],[[ 0.73715734]]
9,[[ 7.5]],[[ 7.34988165]],[[ 0.15011835]]
10,[[ 6.23999977]],[[ 6.53646851]],[[-0.29646873]]
11,[[ 6.625]],[[ 6.29319525]],[[ 0.33180475]]
12,[[ 0.]],[[ 0.]],[[ 0.]]
13,[[ 7.375]],[[ 7.30768299]],[[ 0.06731701]]
14,[[ 13.]],[[ 12.37851334]],[[ 0.62148666]]
15,[[ 0.]],[[ 0.05329746]],[[-0.05329746]]
