Time,Number of labor during construction work,Labor percent,Floor area,Floor height (ft),Temperature,Precipitation,Alterations in design or drawings,Material shortages,Lack of labor surveillance,Equiment efficiency,Improvement in construction method,Accidents,Haulage of material within construction site,Unsuitablity of material storage location,Actual Productivity (m3/hr)
0,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,6.75
1,25,28,7425.7,12,12,0,2,3,3,3,3,0,3,2,7.6
2,25,28,7425.7,12,14,0,2,3,2,3,3,0,3,2,6.875
3,25,28,7425.7,12,16,0,2,3,3,3,3,0,3,2,7.375
4,25,28,7425.7,12,18,0,2,3,3,3,3,0,3,2,7.375
5,25,28,7425.7,12,18,0,2,3,3,2,3,0,3,2,7.5
6,25,28,7425.7,12,19,0,2,3,2,3,3,0,3,2,6.87
7,25,28,7425.7,12,15,0,2,3,2,3,3,0,3,2,7.125
8,25,28,7425.7,12,13,0,2,3,3,3,3,0,3,2,7.7
9,25,28,7425.7,12,11,0,2,3,3,3,3,0,3,2,7.37
10,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,7.5
11,25,28,7425.7,12,9,0,2,3,3,3,3,0,3,2,7.8
1,42,38,6458.35,10,9,0,2,3,2,3,2,0,1,3,13.26
2,42,38,6458.35,10,12,0,2,3,2,3,2,0,1,3,14.04
3,42,38,6458.35,10,15,0,2,3,2,3,2,0,1,3,13.52
4,42,38,6458.35,10,17,0,2,2,2,3,2,0,1,3,13.78
6,42,38,6458.35,10,18,0,2,2,1,3,2,0,1,3,13
7,42,38,6458.35,10,20,0,2,2,1,3,2,0,1,3,11.96
8,42,38,6458.35,10,20,0,2,1,1,3,2,0,1,3,12.22
9,42,38,6458.35,10,18,0,2,1,1,3,2,0,1,3,13.26
10,42,38,6458.35,10,17,0,2,1,2,3,2,0,1,3,13.78
2,19,42,822.33,9.16,9,0,1,3,1,3,2,0,2,1,2.9
3,19,42,822.33,9.16,12,0,1,3,1,1,2,0,2,1,1.95
4,19,42,822.33,9.16,15,3,1,3,1,1,2,0,2,1,1.95
6,19,42,822.33,9.16,17,5,1,3,1,3,2,0,2,1,3.64
7,19,42,822.33,9.16,18,10,1,2,1,2,2,0,2,1,1.17
2,12,33,1024,9.16,10,0,1,3,1,3,2,0,2,1,4.55
3,12,33,1024,9.16,13,0,1,3,1,3,2,0,2,1,4.94
4,10,40,1024,9.16,15,0,1,3,1,3,2,1,2,1,2.6
5,10,40,1024,9.16,20,0,1,3,1,3,2,1,2,1,3.12
3,15,40,1236,1.5,16,0,1,3,1,3,2,0,3,1,3.3
4,15,40,1236,1.5,18,0,1,3,1,3,2,0,3,1,4.2
6,15,40,1236,1.5,22,0,1,3,1,3,2,0,3,1,3.75
7,15,40,1236,1.5,20,0,1,3,1,3,2,0,3,1,1.95
0,33,45,5047.5,50,7,0,1,3,3,3,3,0,3,1,5.98
1,33,45,5047.5,50,10,0,1,3,3,3,3,0,3,1,6.5
2,33,45,5047.5,50,12,0,1,3,3,3,3,0,3,1,6.24
3,33,45,5047.5,50,14,0,1,3,3,2,3,0,3,1,3.25
5,33,45,5047.5,50,17,0,1,3,3,2,3,0,3,1,1.3
6,33,45,5047.5,50,20,0,1,3,2,1,3,1,3,1,0.39
7,33,45,5047.5,50,19,0,1,3,2,1,3,1,3,1,0
8,33,45,5047.5,50,15,0,1,3,2,1,3,0,3,1,0
9,33,45,5047.5,50,15,0,1,3,2,3,3,0,3,1,5.2
10,33,45,5047.5,50,11,0,1,3,1,3,3,0,3,1,4.81
11,33,45,5047.5,50,9,0,1,3,1,3,3,0,3,1,5.33
0,40,23,8833.5,10,7,0,2,3,2,3,3,0,3,2,6.5
1,40,23,8833.5,10,10,0,2,3,2,3,3,0,3,2,6.24
2,40,23,8833.5,10,15,0,2,3,2,2,3,0,3,2,6.37
3,40,23,8833.5,10,18,0,2,3,2,2,3,0,3,2,5.85
5,40,23,8833.5,10,19,0,2,3,1,2,3,0,3,2,4.55
6,40,23,8833.5,10,21,0,2,3,1,1,3,0,3,2,0
7,40,23,8833.5,10,22,5,2,3,1,1,3,0,3,2,0.65
8,40,23,8833.5,10,20,5,2,3,1,1,3,0,3,2,1.05
9,40,23,8833.5,10,18,5,2,3,2,3,3,0,3,2,5.33
10,40,23,8833.5,10,15,5,2,3,2,3,3,0,3,2,5.85
11,40,23,8833.5,10,14,5,2,3,2,3,3,0,3,2,5.2
12,40,23,8833.5,10,14,5,2,3,2,3,3,0,3,2,5.2
1,32,46,,-12,8,0,2,3,3,3,3,0,3,2,3.9
2,32,46,,-12,10,0,2,3,3,3,3,0,3,2,4.55
3,32,46,,-12,15,0,2,3,3,2,3,0,3,2,4.55
5,32,46,,-12,20,0,2,3,3,1,3,0,3,2,0
6,32,46,,-12,22,0,2,3,3,2,3,0,3,2,3.9
7,32,46,,-12,21,0,2,3,3,3,3,0,3,2,4.16
8,32,46,,-12,20,0,2,3,3,3,3,0,3,2,3.38
9,32,46,,-12,19,0,2,3,3,3,3,0,3,2,2.6
1,27,33,11138.55,24,9,10,3,3,3,3,3,0,3,3,6.625
2,27,33,11138.55,24,11,45,3,3,3,3,3,0,3,3,6
3,27,33,11138.55,24,14,70,3,3,3,3,3,0,3,3,5.625
4,27,33,11138.55,24,17,100,3,3,3,3,3,0,3,3,0
5,27,33,11138.55,24,18,100,3,3,3,3,3,0,3,3,0
6,27,33,11138.55,24,17,100,3,3,3,3,3,0,3,3,0
7,27,33,11138.55,24,16,100,3,3,3,3,3,0,3,3,0
